ID,LINE,STATIONA,STATIONB,UNIMPEDED,PEAK,OFFPEAK
272,8,HBT,TOT,3.67,3.5,3.5
273,10,HBY,FPK,2.4,2.97,2.56
274,10,HBY,KXX,2.77,3.5,3.5
275,4,HCH,EPK,1.98,2.5,2.5
276,4,HCH,UPB,1.77,2,2
277,9,HDN,ICK,1.6,2,2
278,7,HDN,ICK,1.73,2,2
279,9,HDN,UXB,3.7,3.92,3.5
280,7,HDN,UXB,4.08,4.02,3.54
281,8,HIG,ARC,2.8,3,3
282,8,HIG,EFY,2.62,3.02,3
283,2,HLN,NAC,2.85,3.44,3.48
284,2,HLN,PER,2.07,2.28,2.25
285,9,HMD,ACT,4.7,6.67,6.87
286,9,HMD,BCT,1.38,2,2
287,4,HMD,BCT,1.43,2,2
288,4,HMD,RCP,1.63,2,2
289,8,HMP,BPK,1.82,2,2
290,8,HMP,GGR,3.95,4.97,5.36
291,5,HMS,GLR,2.05,2,2
292,9,HNC,HNE,1.3,1.5,1.5
293,9,HNC,HNW,1.85,2,2
294,8,HND,BTX,1.73,2,2
295,8,HND,COL,2.67,3,3
296,9,HNE,HNC,1.27,1.5,1.5
297,9,HNE,OST,1.53,2,2
298,9,HNW,HNC,1.98,2.5,2.5
299,9,HNW,HTX,3.3,5.5,5.5
300,7,HOH,FRD,10.15,11.5,11.5
301,7,HOH,MPK,9.03,9.5,9.5
302,7,HOH,NHR,3.18,3,3
303,7,HOH,NWP,1.9,2,2
304,7,HOH,WHR,2.32,2,2
305,2,HOL,CYL,0.87,1,1
306,9,HOL,RSQ,1.55,2,2
307,2,HOL,TCR,1.38,1.75,1.75
308,9,HOL,#N/A,1.53,2,2
309,9,HPC,GPK,1.73,2,2.02
310,9,HPC,KNB,1.12,1.5,1.5
311,2,HPK,NHG,1.08,1.5,1.5
312,2,HPK,SBC,1.52,1.75,1.75
313,9,HRC,HTX,2.63,4.43,4.08
314,9,HRD,ARL,1.28,1.5,1.5
315,9,HRD,CRD,1.2,1.5,1.5
316,1,HSD,SPK,2.02,2.53,2.53
317,1,HSD,WJN,1.65,2.23,2.23
318,4,HST,ECT,2.72,4.11,3.82
319,3,HST,GRD,1.8,2.66,2.9
320,4,HST,NHG,1.68,2,2
321,3,HST,NHG,1.68,2,2
322,9,HTF,HRC,4.63,5,5
323,9,HTX,HNW,3.25,3.5,3.5
324,9,HTX,HTF,2.1,2.5,2.5
325,9,ICK,HDN,1.58,2,2
326,7,ICK,HDN,1.75,2,2
327,9,ICK,RUI,2.3,2.5,2.5
328,7,ICK,RUI,2.45,2.5,2.5
329,6,KBY,QBY,1.85,2,2
330,6,KBY,WPK,3.47,4.73,4.56
331,8,KEN,ELE,1.8,2,2
332,8,KEN,OVL,1.58,2,2
333,8,KEN,WLO,2.77,3,3
334,4,KEW,GUN,2.42,3,3
335,4,KEW,RMD,4.1,3.57,3.5
336,1,KGN,QPK,2.65,4.72,4.72
337,1,KGN,WJN,2.53,3.15,3.15
338,6,KIL,WHD,1.63,2.5,2
339,6,KIL,WLG,2.07,2.32,2.22
340,9,KNB,HPC,1.1,1.5,1.5
341,9,KNB,SKN,2.23,2.5,2.5
342,1,KNT,HAW,2.38,3,3
343,1,KNT,SKT,1.88,2,2
344,1,KPK,MDV,1.48,2,2
345,1,KPK,QPK,2.1,2.89,2.89
346,8,KTN,CTN,1.93,3.08,3.08
347,8,KTN,TPK,1.58,1.5,1.5
348,8,KXX,ANG,2.18,2.5,2.5
349,9,KXX,CRD,2.88,3.5,3.5
350,7,KXX,ESQ,1.65,2,2
351,5,KXX,ESQ,1.65,2,2
352,3,KXX,ESQ,1.65,2,2
353,10,KXX,EUS,1.32,1.92,1.5
354,8,KXX,EUS,1.33,1.68,1.52
355,7,KXX,FAR,2.98,3.5,3.5
356,5,KXX,FAR,2.98,3.5,3.5
357,3,KXX,FAR,2.98,3.5,3.5
358,10,KXX,HBY,2.87,3,3
359,9,KXX,RSQ,1.67,2,2
360,1,LAM,ELE,2.57,2.5,2.5
361,1,LAM,WLO,1.45,2.06,2.06
362,2,LAN,MAR,1.92,2.71,2.5
363,2,LAN,QWY,1.65,1.75,1.75
364,5,LBG,LTR,1.28,1.5,1.5
365,5,LBG,WBP,1.48,1.5,1.5
366,2,LEY,LYS,2.02,2.81,2.76
367,2,LEY,SFD,2.43,2.96,2.75
368,6,LON,BER,2.25,2.5,2.5
369,8,LON,BNK,1.53,2.34,2
370,8,LON,BOR,1.45,1.5,1.5
371,6,LON,SWK,1.77,2,2
372,8,LSQ,CHX,1.2,1.99,1.5
373,9,LSQ,PIC,1.07,1.5,1.5
374,8,LSQ,TCR,1.03,1.5,1.5
375,9,LSQ,#N/A,0.77,1,1.01
376,7,LST,ALD,2.18,2.01,2.2
377,3,LST,ALD,2.18,2.55,2.51
378,5,LST,ALE,1.93,3.14,2.78
379,2,LST,BNG,2.6,2.75,2.75
380,2,LST,BNK,1.65,2,2
381,7,LST,MGT,1.32,1.5,1.5
382,5,LST,MGT,1.32,1.5,1.5
383,3,LST,MGT,1.32,1.5,1.5
384,2,LTN,BHL,2.07,2.53,2.5
385,2,LTN,DEB,2.13,2.22,2.25
386,5,LTR,LBG,1.37,1.5,1.5
387,5,LTR,SBM,1.7,2,2
388,2,LYS,LEY,2.02,2.25,2.25
389,2,LYS,SNB,1.8,2.25,2.25
390,2,LYS,WAN,2.15,2.25,2.25
391,4,MAN,BLF,1.22,1.5,1.5
392,3,MAN,BLF,1.22,1.52,1.5
393,4,MAN,CST,0.98,1,1
394,3,MAN,CST,0.98,1,1
395,2,MAR,BDS,1,1.25,1.25
396,2,MAR,LAN,1.62,2,2
397,8,MCR,CTN,1.8,2.99,2.04
398,8,MCR,EUS,1.52,2,2
399,1,MDV,KPK,1.48,1.5,1.5
400,1,MDV,WAR,1.5,1.5,1.5
401,7,MGT,BAR,1.38,1.5,1.5
402,5,MGT,BAR,1.38,1.5,1.5
403,3,MGT,BAR,1.38,1.5,1.5
404,8,MGT,BNK,1.9,2,2
405,7,MGT,LST,1.18,1.99,1.53
406,5,MGT,LST,1.18,1.95,1.51
407,3,MGT,LST,1.18,1.95,1.51
408,8,MGT,OLD,1.45,1.5,1.5
409,8,MHE,FYC,2.75,3.27,3
410,2,MLE,BNG,1.97,2.47,2.25
411,5,MLE,BWR,1.27,1.5,1.5
412,4,MLE,BWR,1.27,1.51,1.5
413,2,MLE,SFD,3.18,3.42,3.25
414,5,MLE,STG,1.72,2,2
415,4,MLE,STG,1.72,2,2
416,9,MNR,FPK,1.67,2.49,2
417,9,MNR,TPL,2.88,3,3
418,4,MON,CST,0.88,1,1
419,3,MON,CST,0.88,1,1
420,4,MON,THL,1.8,2.08,2.43
421,3,MON,THL,1.8,2,2.07
422,8,MOR,SWM,2.35,2.5,2.5
423,7,MPK,HOH,9.62,10,10
424,7,MPK,NWD,2.87,3,3
425,7,MPK,RKY,4.13,5,5
426,7,MPK,#N/A,4.33,4.5,4.5
427,1,MYB,BST,1.17,1.5,1.5
428,1,MYB,ERD,1.08,1,1
